city_id,recorded_at,temperature_c,humidity_pct,weather,rainfall_mm
DL,2025-11-30T16:00:00Z,-8.0,79,SNOW,0.9
DL,2025-11-30T17:00:00Z,-8.4,68,SNOW,0.4
DL,2025-11-30T18:00:00Z,-8.6,87,SNOW,0.3
DL,2025-11-30T19:00:00Z,-8.4,92,SNOW,0.7
DL,2025-11-30T20:00:00Z,-8.0,70,SNOW,1.8
DL,2025-11-30T21:00:00Z,-7.4,77,SNOW,1.6
DL,2025-11-30T22:00:00Z,-6.6,89,SNOW,0.6
DL,2025-11-30T23:00:00Z,-5.6,87,SNOW,0.3
DL,2025-12-01T00:00:00Z,-4.6,81,SNOW,0.9
DL,2025-12-01T01:00:00Z,-3.5,92,SNOW,1.7
DL,2025-12-01T02:00:00Z,-2.6,88,SNOW,1.2
DL,2025-12-01T03:00:00Z,-1.8,83,SNOW,1.6
