event_id,ticket_id,event_at,status,note
MEV-00000001,TKT-00000001,2025-11-30T21:05:00Z,SUBMITTED,模拟维修流程
MEV-00000002,TKT-00000001,2025-11-30T21:10:00Z,ACCEPTED,模拟维修流程
MEV-00000003,TKT-00000001,2025-11-30T21:15:00Z,IN_PROGRESS,模拟维修流程
MEV-00000004,TKT-00000001,2025-12-01T01:35:00Z,RESOLVED,模拟维修流程
MEV-00000005,TKT-00000002,2025-11-30T21:55:00Z,SUBMITTED,模拟维修流程
MEV-00000006,TKT-00000002,2025-11-30T22:00:00Z,ACCEPTED,模拟维修流程
MEV-00000007,TKT-00000002,2025-11-30T22:05:00Z,IN_PROGRESS,模拟维修流程
MEV-00000008,TKT-00000002,2025-12-01T01:35:00Z,RESOLVED,模拟维修流程
MEV-00000009,TKT-00000003,2025-11-30T23:15:00Z,SUBMITTED,模拟维修流程
MEV-00000010,TKT-00000003,2025-11-30T23:20:00Z,ACCEPTED,模拟维修流程
MEV-00000011,TKT-00000003,2025-11-30T23:25:00Z,IN_PROGRESS,模拟维修流程
MEV-00000012,TKT-00000003,2025-12-01T04:50:00Z,RESOLVED,模拟维修流程
