ticket_id,charger_id,station_id,reported_at,accepted_at,work_started_at,restored_at,fault_type,severity,labor_cost_cents,parts_cost_cents,status
TKT-00000001,CH-SZ-03-2,ST-SZ-03,2025-11-30T21:05:00Z,2025-11-30T21:10:00Z,2025-11-30T21:15:00Z,2025-12-01T01:35:00Z,COOLING,MEDIUM,15870,27238,RESOLVED
TKT-00000002,CH-SZ-02-1,ST-SZ-02,2025-11-30T21:55:00Z,2025-11-30T22:00:00Z,2025-11-30T22:05:00Z,2025-12-01T01:35:00Z,COOLING,MEDIUM,14059,36716,RESOLVED
TKT-00000003,CH-DL-03-2,ST-DL-03,2025-11-30T23:15:00Z,2025-11-30T23:20:00Z,2025-11-30T23:25:00Z,2025-12-01T04:50:00Z,COOLING,MEDIUM,24546,5506,RESOLVED
TKT-00000004,CH-BJ-03-2,ST-BJ-03,2025-12-01T04:45:00Z,2025-12-01T04:50:00Z,2025-12-01T04:55:00Z,2025-12-01T07:15:00Z,CONNECTOR,MEDIUM,14463,41320,RESOLVED
TKT-00000005,CH-DL-03-3,ST-DL-03,2025-12-01T09:25:00Z,2025-12-01T09:30:00Z,2025-12-01T09:35:00Z,2025-12-01T13:45:00Z,CONNECTOR,MEDIUM,10356,14603,RESOLVED
TKT-00000006,CH-DL-01-1,ST-DL-01,2025-12-01T18:00:00Z,2025-12-01T18:05:00Z,2025-12-01T18:10:00Z,2025-12-01T21:40:00Z,COMMUNICATION,MEDIUM,24467,46682,RESOLVED
TKT-00000007,CH-BJ-04-3,ST-BJ-04,2025-12-01T19:05:00Z,2025-12-01T19:10:00Z,2025-12-01T19:15:00Z,2025-12-01T20:45:00Z,COMMUNICATION,MEDIUM,8307,7077,RESOLVED
TKT-00000008,CH-BJ-03-1,ST-BJ-03,2025-12-02T07:25:00Z,2025-12-02T07:30:00Z,2025-12-02T07:35:00Z,2025-12-02T11:50:00Z,COOLING,MEDIUM,15450,40430,RESOLVED
TKT-00000009,CH-DL-04-2,ST-DL-04,2025-12-02T09:50:00Z,2025-12-02T09:55:00Z,2025-12-02T10:00:00Z,2025-12-02T13:25:00Z,COOLING,MEDIUM,16930,3848,RESOLVED
TKT-00000010,CH-SZ-02-2,ST-SZ-02,2025-12-02T21:00:00Z,2025-12-02T21:05:00Z,2025-12-02T21:10:00Z,2025-12-03T02:25:00Z,CONNECTOR,MEDIUM,23813,45308,RESOLVED
TKT-00000011,CH-DL-01-2,ST-DL-01,2025-12-03T01:50:00Z,2025-12-03T01:55:00Z,2025-12-03T02:00:00Z,2025-12-03T03:10:00Z,CONNECTOR,MEDIUM,9964,48301,RESOLVED
TKT-00000012,CH-BJ-03-2,ST-BJ-03,2025-12-03T11:55:00Z,2025-12-03T12:00:00Z,2025-12-03T12:05:00Z,2025-12-03T15:45:00Z,POWER_MODULE,MEDIUM,23374,7755,RESOLVED
