attempt_id,user_id,vehicle_id,station_id,charger_id,attempted_at,outcome,failure_reason,session_id,queue_id,reservation_id
ATT-00000001,U-SH-000059,V-SH-000059,ST-SH-04,CH-SH-04-1,2025-11-30T16:00:00Z,STARTED,,SES-00000001,,
ATT-00000002,U-SH-000067,V-SH-000067,ST-SH-01,CH-SH-01-1,2025-11-30T16:05:00Z,STARTED,,SES-00000002,,RSV-00000001
ATT-00000003,U-SY-000003,V-SY-000003,ST-SY-03,CH-SY-03-1,2025-11-30T16:10:00Z,STARTED,,SES-00000003,,
ATT-00000006,U-DL-000013,V-DL-000013,ST-DL-05,CH-DL-05-1,2025-11-30T16:20:00Z,STARTED,,SES-00000004,,
ATT-00000004,U-BJ-000068,V-BJ-000068,ST-BJ-02,CH-BJ-02-1,2025-11-30T16:10:00Z,STARTED,,SES-00000005,,RSV-00000002
ATT-00000005,U-DL-000035,V-DL-000035,ST-DL-01,CH-DL-01-1,2025-11-30T16:15:00Z,STARTED,,SES-00000006,,RSV-00000003
ATT-00000007,U-DL-000036,V-DL-000036,ST-DL-02,CH-DL-02-1,2025-11-30T16:35:00Z,STARTED,,SES-00000007,,
ATT-00000008,U-BJ-000029,V-BJ-000029,ST-BJ-01,CH-BJ-01-1,2025-11-30T16:35:00Z,STARTED,,SES-00000008,,
ATT-00000009,U-BJ-000060,V-BJ-000060,ST-BJ-04,CH-BJ-04-1,2025-11-30T16:35:00Z,STARTED,,SES-00000009,,
ATT-00000011,U-SZ-000035,V-SZ-000035,ST-SZ-04,CH-SZ-04-1,2025-11-30T16:35:00Z,STARTED,,SES-00000010,,
ATT-00000012,U-DL-000050,V-DL-000050,ST-DL-03,CH-DL-03-1,2025-11-30T16:40:00Z,STARTED,,SES-00000011,,
ATT-00000010,U-SZ-000068,V-SZ-000068,ST-SZ-01,CH-SZ-01-1,2025-11-30T16:35:00Z,STARTED,,SES-00000012,,RSV-00000004
