label_id,session_id,recorded_at,anomaly_type,severity
ANOM-00000001,SES-00000002,2025-11-30T16:10:00Z,THERMAL_STRESS,MEDIUM
ANOM-00000002,SES-00000022,2025-11-30T17:25:00Z,POWER_DERATING,MEDIUM
ANOM-00000003,SES-00000026,2025-11-30T17:45:00Z,EARLY_STOP,MEDIUM
ANOM-00000004,SES-00000060,2025-11-30T20:55:00Z,EARLY_STOP,MEDIUM
ANOM-00000005,SES-00000067,2025-11-30T21:30:00Z,THERMAL_STRESS,MEDIUM
ANOM-00000006,SES-00000078,2025-11-30T22:30:00Z,EARLY_STOP,MEDIUM
ANOM-00000007,SES-00000134,2025-12-01T00:35:00Z,POWER_DERATING,MEDIUM
ANOM-00000008,SES-00000151,2025-12-01T01:10:00Z,POWER_DERATING,MEDIUM
ANOM-00000009,SES-00000157,2025-12-01T01:15:00Z,EARLY_STOP,MEDIUM
ANOM-00000010,SES-00000184,2025-12-01T01:50:00Z,EARLY_STOP,MEDIUM
ANOM-00000011,SES-00000200,2025-12-01T02:25:00Z,POWER_DERATING,MEDIUM
ANOM-00000012,SES-00000208,2025-12-01T02:35:00Z,POWER_DERATING,MEDIUM
