payment_id,session_id,user_id,occurred_at,transaction_type,status,channel,amount_cents,failure_reason
PAY-00000001,SES-00000001,U-SH-000059,2025-11-30T17:20:00Z,PAYMENT,SUCCESS,FLEET_ACCOUNT,4003,
PAY-00000002,SES-00000002,U-SH-000067,2025-11-30T17:00:00Z,PAYMENT,SUCCESS,WECHAT,3219,
PAY-00000003,SES-00000003,U-SY-000003,2025-11-30T16:45:00Z,PAYMENT,SUCCESS,ALIPAY,1255,
PAY-00000004,SES-00000004,U-DL-000013,2025-11-30T17:30:00Z,PAYMENT,SUCCESS,ALIPAY,3479,
PAY-00000005,SES-00000005,U-BJ-000068,2025-11-30T17:15:00Z,PAYMENT,SUCCESS,FLEET_ACCOUNT,1932,
PAY-00000006,SES-00000006,U-DL-000035,2025-11-30T17:40:00Z,PAYMENT,FAILED,WECHAT,3934,CHANNEL_TIMEOUT
PAY-00000007,SES-00000006,U-DL-000035,2025-11-30T17:45:00Z,PAYMENT,SUCCESS,WECHAT,3934,
PAY-00000008,SES-00000007,U-DL-000036,2025-11-30T17:20:00Z,PAYMENT,FAILED,WALLET,1892,INSUFFICIENT_BALANCE
PAY-00000009,SES-00000007,U-DL-000036,2025-11-30T17:25:00Z,PAYMENT,SUCCESS,WALLET,1892,
PAY-00000010,SES-00000008,U-BJ-000029,2025-11-30T17:20:00Z,PAYMENT,SUCCESS,WECHAT,2706,
PAY-00000011,SES-00000009,U-BJ-000060,2025-11-30T18:00:00Z,PAYMENT,SUCCESS,FLEET_ACCOUNT,3545,
PAY-00000012,SES-00000010,U-SZ-000035,2025-11-30T17:10:00Z,PAYMENT,SUCCESS,FLEET_ACCOUNT,1872,
