session_id,attempt_id,user_id,vehicle_id,station_id,charger_id,started_at,ended_at,unplugged_at,energy_wh,grid_energy_wh,electricity_fee_cents,service_fee_cents,parking_fee_cents,discount_cents,total_fee_cents,grid_cost_cents,status,stop_reason,start_soc_pct,end_soc_pct,target_mode,target_value,campaign_id
SES-00000001,ATT-00000001,U-SH-000059,V-SH-000059,ST-SH-04,CH-SH-04-1,2025-11-30T16:00:00Z,2025-11-30T17:10:00Z,2025-11-30T17:15:00Z,45000,47376,2834,1619,0,450,4003,2418,COMPLETED,TARGET_REACHED,42,92.0,ENERGY,45000,CP-SH-1
SES-00000002,ATT-00000002,U-SH-000067,V-SH-000067,ST-SH-01,CH-SH-01-1,2025-11-30T16:10:00Z,2025-11-30T16:45:00Z,2025-11-30T16:55:00Z,32500,34212,2047,1172,0,0,3219,1745,COMPLETED,TARGET_REACHED,19,84.0,ENERGY,32500,
SES-00000003,ATT-00000003,U-SY-000003,V-SY-000003,ST-SY-03,CH-SY-03-1,2025-11-30T16:10:00Z,2025-11-30T16:35:00Z,2025-11-30T16:35:00Z,18000,18950,1027,578,0,350,1255,855,COMPLETED,TARGET_REACHED,45,75.0,ENERGY,18000,CP-SY-1
SES-00000004,ATT-00000006,U-DL-000013,V-DL-000013,ST-DL-05,CH-DL-05-1,2025-11-30T16:20:00Z,2025-11-30T17:20:00Z,2025-11-30T17:25:00Z,41400,43582,2234,1245,0,0,3479,1832,COMPLETED,TARGET_REACHED,26,95.0,ENERGY,41400,
SES-00000005,ATT-00000004,U-BJ-000068,V-BJ-000068,ST-BJ-02,CH-BJ-02-1,2025-11-30T16:25:00Z,2025-11-30T16:55:00Z,2025-11-30T17:10:00Z,24400,25685,1463,829,40,400,1932,1233,COMPLETED,TARGET_REACHED,23,84.0,ENERGY,24400,CP-BJ-1
SES-00000006,ATT-00000005,U-DL-000035,V-DL-000035,ST-DL-01,CH-DL-01-1,2025-11-30T16:35:00Z,2025-11-30T17:35:00Z,2025-11-30T17:35:00Z,50400,53058,2720,1514,0,300,3934,2228,COMPLETED,TARGET_REACHED,29,85.0,ENERGY,50400,CP-DL-1
SES-00000007,ATT-00000007,U-DL-000036,V-DL-000036,ST-DL-02,CH-DL-02-1,2025-11-30T16:35:00Z,2025-11-30T17:05:00Z,2025-11-30T17:20:00Z,25600,26948,1382,770,40,300,1892,1133,COMPLETED,TARGET_REACHED,16,80.0,ENERGY,25600,CP-DL-1
SES-00000008,ATT-00000008,U-BJ-000029,V-BJ-000029,ST-BJ-01,CH-BJ-01-1,2025-11-30T16:35:00Z,2025-11-30T17:10:00Z,2025-11-30T17:10:00Z,28800,30318,1727,979,0,0,2706,1455,COMPLETED,TARGET_REACHED,10,82.0,ENERGY,28800,
SES-00000009,ATT-00000009,U-BJ-000060,V-BJ-000060,ST-BJ-04,CH-BJ-04-1,2025-11-30T16:35:00Z,2025-11-30T17:25:00Z,2025-11-30T17:55:00Z,36000,37898,2162,1223,160,0,3545,1819,COMPLETED,TARGET_REACHED,24,84.0,ENERGY,36000,
SES-00000010,ATT-00000011,U-SZ-000035,V-SZ-000035,ST-SZ-04,CH-SZ-04-1,2025-11-30T16:35:00Z,2025-11-30T17:00:00Z,2025-11-30T17:00:00Z,18000,18951,1188,684,0,0,1872,1023,COMPLETED,TARGET_REACHED,49,94.0,ENERGY,18000,
SES-00000011,ATT-00000012,U-DL-000050,V-DL-000050,ST-DL-03,CH-DL-03-1,2025-11-30T16:40:00Z,2025-11-30T17:30:00Z,2025-11-30T17:35:00Z,32000,33690,1728,961,0,300,2389,1416,COMPLETED,TARGET_REACHED,27,91.0,ENERGY,32000,CP-DL-1
SES-00000012,ATT-00000010,U-SZ-000068,V-SZ-000068,ST-SZ-01,CH-SZ-01-1,2025-11-30T16:50:00Z,2025-11-30T17:10:00Z,2025-11-30T17:15:00Z,17400,18319,1148,661,0,0,1809,988,COMPLETED,TARGET_REACHED,51,80.0,ENERGY,17400,
