reservation_id,user_id,station_id,charger_id,created_at,expires_at,resolved_at,status,session_id
RSV-00000001,U-SH-001118,ST-SH-04,CH-SH-04-2,2025-11-30T16:10:00Z,2025-11-30T16:20:00Z,2025-11-30T16:20:00Z,CONFIRMED,SES-00000009
RSV-00000003,U-SY-000049,ST-SY-04,CH-SY-04-2,2025-11-30T16:20:00Z,2025-11-30T16:35:00Z,2025-11-30T16:35:00Z,CONFIRMED,SES-00000014
RSV-00000002,U-SH-001063,ST-SH-04,CH-SH-04-3,2025-11-30T16:15:00Z,2025-11-30T16:35:00Z,2025-11-30T16:35:00Z,CONFIRMED,SES-00000015
RSV-00000005,U-SZ-000324,ST-SZ-04,CH-SZ-04-2,2025-11-30T17:10:00Z,2025-11-30T17:20:00Z,2025-11-30T17:20:00Z,CONFIRMED,SES-00000025
RSV-00000004,U-BJ-001136,ST-BJ-04,CH-BJ-04-2,2025-11-30T17:10:00Z,2025-11-30T17:25:00Z,2025-11-30T17:25:00Z,CONFIRMED,SES-00000028
RSV-00000006,U-SY-000546,ST-SY-04,CH-SY-04-1,2025-11-30T18:30:00Z,2025-11-30T18:45:00Z,2025-11-30T18:45:00Z,CONFIRMED,SES-00000041
RSV-00000007,U-BJ-000914,ST-BJ-04,CH-BJ-04-3,2025-11-30T18:40:00Z,2025-11-30T18:50:00Z,2025-11-30T18:50:00Z,EXPIRED,
RSV-00000008,U-SZ-000794,ST-SZ-04,CH-SZ-04-2,2025-11-30T18:50:00Z,2025-11-30T19:05:00Z,2025-11-30T19:05:00Z,CONFIRMED,SES-00000045
RSV-00000009,U-DL-000525,ST-DL-04,CH-DL-04-2,2025-11-30T19:00:00Z,2025-11-30T19:20:00Z,2025-11-30T19:20:00Z,CONFIRMED,SES-00000047
RSV-00000010,U-DL-000926,ST-DL-04,CH-DL-04-2,2025-11-30T20:25:00Z,2025-11-30T20:35:00Z,2025-11-30T20:35:00Z,CONFIRMED,SES-00000056
RSV-00000011,U-SH-000619,ST-SH-04,CH-SH-04-2,2025-11-30T20:25:00Z,2025-11-30T20:40:00Z,2025-11-30T20:40:00Z,CONFIRMED,SES-00000057
RSV-00000012,U-SY-001000,ST-SY-04,CH-SY-04-1,2025-11-30T20:35:00Z,2025-11-30T20:50:00Z,2025-11-30T20:50:00Z,CONFIRMED,SES-00000060
