review_id,session_id,user_id,station_id,created_at,rating,issue_type,comment
REV-00000001,SES-00000003,U-SZ-000189,ST-SZ-03,2025-12-01T01:00:00Z,4,NONE,模拟评价：常规充电体验
REV-00000002,SES-00000010,U-SZ-000190,ST-SZ-04,2025-11-30T17:25:00Z,5,NONE,模拟评价：常规充电体验
REV-00000003,SES-00000014,U-SY-000049,ST-SY-04,2025-11-30T17:15:00Z,4,NONE,模拟评价：常规充电体验
REV-00000004,SES-00000016,U-BJ-000463,ST-BJ-04,2025-11-30T17:15:00Z,4,NONE,模拟评价：常规充电体验
REV-00000005,SES-00000018,U-SH-000084,ST-SH-04,2025-11-30T17:20:00Z,4,NONE,模拟评价：常规充电体验
REV-00000006,SES-00000020,U-SY-000377,ST-SY-04,2025-11-30T17:40:00Z,5,NONE,模拟评价：常规充电体验
REV-00000007,SES-00000030,U-SH-000526,ST-SH-03,2025-11-30T23:25:00Z,5,NONE,模拟评价：常规充电体验
REV-00000008,SES-00000033,U-SZ-000678,ST-SZ-04,2025-11-30T18:40:00Z,4,NONE,模拟评价：常规充电体验
REV-00000009,SES-00000037,U-BJ-000446,ST-BJ-04,2025-11-30T18:55:00Z,5,NONE,模拟评价：常规充电体验
REV-00000010,SES-00000045,U-SZ-000794,ST-SZ-04,2025-11-30T19:35:00Z,5,NONE,模拟评价：常规充电体验
REV-00000011,SES-00000047,U-DL-000525,ST-DL-04,2025-11-30T19:45:00Z,4,NONE,模拟评价：常规充电体验
REV-00000012,SES-00000048,U-DL-000826,ST-DL-04,2025-11-30T20:10:00Z,5,NONE,模拟评价：常规充电体验
