queue_id,user_id,station_id,joined_at,called_at,resolved_at,position_at_join,status,session_id
QUE-00000002,U-BJ-000013,ST-BJ-04,2025-11-30T16:45:00Z,2025-11-30T16:50:00Z,2025-11-30T16:55:00Z,1,SERVED,SES-00000015
QUE-00000001,U-SY-000065,ST-SY-04,2025-11-30T16:40:00Z,2025-11-30T17:00:00Z,2025-11-30T17:05:00Z,1,CALL_EXPIRED,
QUE-00000003,U-SY-000026,ST-SY-04,2025-11-30T17:00:00Z,2025-11-30T17:05:00Z,2025-11-30T17:10:00Z,1,SERVED,SES-00000021
QUE-00000004,U-SY-000065,ST-SY-04,2025-11-30T17:30:00Z,2025-11-30T17:35:00Z,2025-11-30T17:40:00Z,1,SERVED,SES-00000027
QUE-00000006,U-SH-000019,ST-SH-04,2025-11-30T22:10:00Z,2025-11-30T22:15:00Z,2025-11-30T22:20:00Z,1,CALL_EXPIRED,
QUE-00000005,U-DL-000022,ST-DL-04,2025-11-30T22:05:00Z,2025-11-30T22:20:00Z,2025-11-30T22:25:00Z,1,SERVED,SES-00000076
QUE-00000007,U-DL-000025,ST-DL-04,2025-11-30T22:35:00Z,2025-11-30T22:55:00Z,2025-11-30T23:00:00Z,1,SERVED,SES-00000084
QUE-00000008,U-SH-000074,ST-SH-04,2025-11-30T23:50:00Z,2025-11-30T23:55:00Z,2025-12-01T00:00:00Z,1,CALL_EXPIRED,
QUE-00000009,U-BJ-000060,ST-BJ-04,2025-11-30T23:55:00Z,2025-12-01T00:05:00Z,2025-12-01T00:10:00Z,1,SERVED,SES-00000113
QUE-00000010,U-BJ-000001,ST-BJ-04,2025-12-01T00:00:00Z,2025-12-01T00:25:00Z,2025-12-01T00:30:00Z,2,SERVED,SES-00000121
QUE-00000011,U-BJ-000063,ST-BJ-01,2025-12-01T02:10:00Z,2025-12-01T02:15:00Z,2025-12-01T02:20:00Z,1,SERVED,SES-00000171
QUE-00000012,U-SH-000060,ST-SH-01,2025-12-01T02:35:00Z,2025-12-01T02:45:00Z,2025-12-01T02:50:00Z,1,SERVED,SES-00000190
