vehicle_id,user_id,battery_capacity_kwh,max_charge_kw,vehicle_class
V-DL-000001,U-DL-000001,90,150,COMMUTER
V-DL-000002,U-DL-000002,40,50,COMMUTER
V-DL-000003,U-DL-000003,75,120,FLEET
V-DL-000004,U-DL-000004,50,80,FAMILY
V-DL-000005,U-DL-000005,50,80,FLEET
V-DL-000006,U-DL-000006,40,50,COMMUTER
V-DL-000007,U-DL-000007,60,100,FAMILY
V-DL-000008,U-DL-000008,75,120,FAMILY
V-DL-000009,U-DL-000009,40,50,COMMUTER
V-DL-000010,U-DL-000010,50,80,COMMUTER
V-DL-000011,U-DL-000011,50,80,COMMUTER
V-DL-000012,U-DL-000012,75,120,RIDE_HAILING
