session_id,charger_id,recorded_at,soc_pct,pack_voltage_v,charge_current_a,max_cell_voltage_v,min_cell_voltage_v,max_temperature_c,min_temperature_c
SES-00000001,CH-SY-04-1,2025-11-30T16:05:00Z,36.2233,338.5,115.43,3.544,3.508,25.6,23.1
SES-00000002,CH-SH-04-1,2025-11-30T16:05:00Z,49.604,350.06,132.46,3.6645,3.6285,29.4,26.9
SES-00000001,CH-SY-04-1,2025-11-30T16:10:00Z,41.65,343.19,116.58,3.5929,3.5569,25.7,23.2
SES-00000003,CH-BJ-04-2,2025-11-30T16:10:00Z,66.0613,364.28,233.23,3.8126,3.7766,31.6,29.1
SES-00000004,CH-SH-03-2,2025-11-30T16:10:00Z,53.4878,353.41,18.74,3.6994,3.6634,25.4,22.9
SES-00000002,CH-SH-04-1,2025-11-30T16:10:00Z,57.332,356.73,130.45,3.7339,3.6979,29.4,26.9
SES-00000001,CH-SY-04-1,2025-11-30T16:15:00Z,47.2067,347.99,117.38,3.6429,3.6069,25.8,23.3
SES-00000005,CH-SY-04-3,2025-11-30T16:15:00Z,40.59,342.27,16.3,3.5833,3.5473,22.2,19.7
SES-00000003,CH-BJ-04-2,2025-11-30T16:15:00Z,75.5013,372.43,60.41,3.8975,3.8615,25.4,22.9
SES-00000004,CH-SH-03-2,2025-11-30T16:15:00Z,54.1011,353.94,18.78,3.7049,3.6689,25.4,22.9
SES-00000006,CH-SH-03-3,2025-11-30T16:15:00Z,28.0156,331.41,19.99,3.4702,3.4342,25.4,22.9
SES-00000002,CH-SH-04-1,2025-11-30T16:15:00Z,65.088,363.44,128.47,3.8038,3.7678,29.4,26.9
