review_id,session_id,user_id,station_id,created_at,rating,issue_type,comment
REV-00000001,SES-00000001,U-SY-000003,ST-SY-04,2025-11-30T17:05:00Z,5,NONE,模拟评价：常规充电体验
REV-00000002,SES-00000002,U-SH-000074,ST-SH-04,2025-11-30T16:40:00Z,4,NONE,模拟评价：常规充电体验
REV-00000003,SES-00000005,U-SY-000032,ST-SY-04,2025-11-30T19:45:00Z,4,NONE,模拟评价：常规充电体验
REV-00000004,SES-00000009,U-SZ-000031,ST-SZ-04,2025-11-30T17:35:00Z,5,NONE,模拟评价：常规充电体验
REV-00000005,SES-00000010,U-BJ-000038,ST-BJ-04,2025-11-30T19:20:00Z,5,NONE,模拟评价：常规充电体验
REV-00000006,SES-00000013,U-DL-000063,ST-DL-03,2025-12-01T00:50:00Z,5,NONE,模拟评价：常规充电体验
REV-00000007,SES-00000020,U-SH-000005,ST-SH-04,2025-11-30T17:55:00Z,5,NONE,模拟评价：常规充电体验
REV-00000008,SES-00000022,U-SY-000043,ST-SY-04,2025-11-30T18:05:00Z,5,NONE,模拟评价：常规充电体验
REV-00000009,SES-00000023,U-BJ-000055,ST-BJ-04,2025-11-30T18:50:00Z,4,NONE,模拟评价：常规充电体验
REV-00000010,SES-00000024,U-DL-000007,ST-DL-04,2025-11-30T18:25:00Z,5,NONE,模拟评价：常规充电体验
REV-00000011,SES-00000032,U-SH-000046,ST-SH-04,2025-11-30T19:00:00Z,5,NONE,模拟评价：常规充电体验
REV-00000012,SES-00000042,U-DL-000068,ST-DL-04,2025-11-30T20:40:00Z,4,NONE,模拟评价：常规充电体验
