city_id,recorded_at,temperature_c,humidity_pct,weather,rainfall_mm
DL,2025-11-30T16:00:00Z,2.0,68.0,CLEAR,0.0
DL,2025-11-30T17:00:00Z,1.4,69.0,CLEAR,0.0
DL,2025-11-30T18:00:00Z,1.2,69.0,CLEAR,0.0
DL,2025-11-30T19:00:00Z,1.1,68.0,CLEAR,0.0
DL,2025-11-30T20:00:00Z,0.7,68.0,CLEAR,0.0
DL,2025-11-30T21:00:00Z,0.7,67.0,CLEAR,0.0
DL,2025-11-30T22:00:00Z,0.8,62.0,CLEAR,0.0
DL,2025-11-30T23:00:00Z,1.1,60.0,CLEAR,0.0
DL,2025-12-01T00:00:00Z,1.2,58.0,CLEAR,0.0
DL,2025-12-01T01:00:00Z,1.6,57.0,CLEAR,0.0
DL,2025-12-01T02:00:00Z,3.2,55.0,CLEAR,0.0
DL,2025-12-01T03:00:00Z,3.9,55.0,CLEAR,0.0
