reservation_id,user_id,station_id,charger_id,created_at,expires_at,resolved_at,status,session_id
RSV-00000001,U-SY-000003,ST-SY-04,CH-SY-04-1,2025-11-30T16:00:00Z,2025-11-30T16:05:00Z,2025-11-30T16:05:00Z,CONFIRMED,SES-00000001
RSV-00000002,U-SY-000076,ST-SY-04,CH-SY-04-2,2025-11-30T16:35:00Z,2025-11-30T16:45:00Z,2025-11-30T16:45:00Z,CONFIRMED,SES-00000011
RSV-00000003,U-BJ-000041,ST-BJ-03,CH-BJ-03-1,2025-11-30T16:40:00Z,2025-11-30T16:45:00Z,2025-11-30T16:45:00Z,CONFIRMED,SES-00000012
RSV-00000004,U-SZ-000007,ST-SZ-04,CH-SZ-04-3,2025-11-30T16:40:00Z,2025-11-30T16:55:00Z,2025-11-30T16:55:00Z,CANCELLED,
RSV-00000005,U-SH-000074,ST-SH-04,CH-SH-04-1,2025-11-30T20:10:00Z,2025-11-30T20:25:00Z,2025-11-30T20:25:00Z,CONFIRMED,SES-00000049
RSV-00000006,U-SY-000012,ST-SY-04,CH-SY-04-2,2025-11-30T20:25:00Z,2025-11-30T20:30:00Z,2025-11-30T20:30:00Z,CANCELLED,
RSV-00000007,U-SY-000065,ST-SY-04,CH-SY-04-2,2025-11-30T20:45:00Z,2025-11-30T21:05:00Z,2025-11-30T21:05:00Z,CONFIRMED,SES-00000055
RSV-00000008,U-SY-000009,ST-SY-03,CH-SY-03-3,2025-11-30T20:50:00Z,2025-11-30T21:10:00Z,2025-11-30T21:10:00Z,CONFIRMED,SES-00000056
RSV-00000009,U-SZ-000024,ST-SZ-04,CH-SZ-04-1,2025-11-30T20:55:00Z,2025-11-30T21:15:00Z,2025-11-30T21:15:00Z,CONFIRMED,SES-00000058
RSV-00000010,U-SZ-000026,ST-SZ-03,CH-SZ-03-2,2025-11-30T21:35:00Z,2025-11-30T21:50:00Z,2025-11-30T21:50:00Z,CONFIRMED,SES-00000068
RSV-00000011,U-SH-000005,ST-SH-04,CH-SH-04-2,2025-11-30T21:50:00Z,2025-11-30T22:00:00Z,2025-11-30T22:00:00Z,CONFIRMED,SES-00000071
RSV-00000012,U-SH-000020,ST-SH-04,CH-SH-04-1,2025-11-30T22:50:00Z,2025-11-30T22:55:00Z,2025-11-30T22:55:00Z,CONFIRMED,SES-00000082
