session_id,attempt_id,user_id,vehicle_id,station_id,charger_id,started_at,ended_at,unplugged_at,energy_wh,grid_energy_wh,electricity_fee_cents,service_fee_cents,parking_fee_cents,discount_cents,total_fee_cents,grid_cost_cents,status,stop_reason,start_soc_pct,end_soc_pct,target_mode,target_value,campaign_id
SES-00000001,ATT-00000001,U-BJ-000791,V-BJ-000791,ST-BJ-01,CH-BJ-01-1,2025-11-30T16:00:00Z,2025-11-30T17:00:00Z,2025-11-30T17:05:00Z,33000,34741,1982,1123,0,0,3105,1669,COMPLETED,TARGET_REACHED,40,95.0,ENERGY,33000,
SES-00000002,ATT-00000002,U-SY-001200,V-SY-001200,ST-SY-01,CH-SY-01-1,2025-11-30T16:05:00Z,2025-11-30T16:50:00Z,2025-11-30T16:55:00Z,29500,31055,1680,945,0,0,2625,1395,COMPLETED,TARGET_REACHED,35,94.0,ENERGY,29500,
SES-00000003,ATT-00000003,U-BJ-000644,V-BJ-000644,ST-BJ-03,CH-BJ-03-1,2025-11-30T16:05:00Z,2025-11-30T16:40:00Z,2025-11-30T16:40:00Z,25500,26844,1531,869,0,0,2400,1290,COMPLETED,TARGET_REACHED,45,79.0,ENERGY,25500,
SES-00000004,ATT-00000004,U-SH-000416,V-SH-000416,ST-SH-01,CH-SH-01-1,2025-11-30T16:10:00Z,2025-11-30T16:25:00Z,2025-11-30T16:30:00Z,10000,10528,630,360,0,0,990,536,COMPLETED,TARGET_REACHED,49,74.0,ENERGY,10000,
SES-00000005,ATT-00000005,U-SZ-000095,V-SZ-000095,ST-SZ-01,CH-SZ-01-1,2025-11-30T16:10:00Z,2025-11-30T17:20:00Z,2025-11-30T17:25:00Z,54750,57641,3613,2081,0,500,5194,3111,COMPLETED,TARGET_REACHED,21,94.0,ENERGY,54750,CP-SZ-1
SES-00000006,ATT-00000006,U-SZ-000818,V-SZ-000818,ST-SZ-02,CH-SZ-02-1,2025-11-30T16:10:00Z,2025-11-30T16:45:00Z,2025-11-30T16:45:00Z,31500,33163,2079,1197,0,0,3276,1789,COMPLETED,TARGET_REACHED,11,74.0,ENERGY,31500,
SES-00000007,ATT-00000007,U-SH-000128,V-SH-000128,ST-SH-05,CH-SH-05-1,2025-11-30T16:20:00Z,2025-11-30T16:50:00Z,2025-11-30T16:50:00Z,23600,24846,1486,849,0,450,1885,1266,COMPLETED,TARGET_REACHED,33,92.0,ENERGY,23600,CP-SH-1
SES-00000008,ATT-00000009,U-SY-000943,V-SY-000943,ST-SY-03,CH-SY-03-1,2025-11-30T16:20:00Z,2025-11-30T17:15:00Z,2025-11-30T17:20:00Z,45750,48161,2605,1465,0,0,4070,2164,COMPLETED,TARGET_REACHED,16,77.0,ENERGY,45750,
SES-00000009,ATT-00000011,U-SH-001012,V-SH-001012,ST-SH-03,CH-SH-03-1,2025-11-30T16:20:00Z,2025-11-30T17:10:00Z,2025-11-30T17:10:00Z,43500,45797,2739,1565,0,0,4304,2333,COMPLETED,TARGET_REACHED,16,74.0,ENERGY,43500,
SES-00000010,ATT-00000012,U-BJ-000458,V-BJ-000458,ST-BJ-03,CH-BJ-03-2,2025-11-30T16:25:00Z,2025-11-30T21:25:00Z,2025-11-30T21:25:00Z,31494,34274,1893,1064,0,0,2957,1655,COMPLETED,DURATION_LIMIT,26,78.49,ENERGY,33000,
SES-00000011,ATT-00000013,U-SZ-000050,V-SZ-000050,ST-SZ-01,CH-SZ-01-2,2025-11-30T16:25:00Z,2025-11-30T16:50:00Z,2025-11-30T16:50:00Z,42750,45003,2822,1625,0,500,3947,2428,COMPLETED,TARGET_REACHED,31,88.0,ENERGY,42750,CP-SZ-1
SES-00000012,ATT-00000014,U-BJ-000213,V-BJ-000213,ST-BJ-04,CH-BJ-04-1,2025-11-30T16:30:00Z,2025-11-30T17:25:00Z,2025-11-30T17:35:00Z,36000,37899,2162,1227,0,0,3389,1818,COMPLETED,TARGET_REACHED,46,94.0,ENERGY,36000,
