payment_id,session_id,user_id,occurred_at,transaction_type,status,channel,amount_cents,failure_reason
PAY-00000001,SES-00000001,U-BJ-000791,2025-11-30T17:10:00Z,PAYMENT,SUCCESS,FLEET_ACCOUNT,3105,
PAY-00000002,SES-00000002,U-SY-001200,2025-11-30T16:55:00Z,PAYMENT,FAILED,WALLET,2625,INSUFFICIENT_BALANCE
PAY-00000003,SES-00000002,U-SY-001200,2025-11-30T17:00:00Z,PAYMENT,SUCCESS,WALLET,2625,
PAY-00000004,SES-00000003,U-BJ-000644,2025-11-30T16:50:00Z,PAYMENT,SUCCESS,FLEET_ACCOUNT,2400,
PAY-00000005,SES-00000004,U-SH-000416,2025-11-30T16:35:00Z,PAYMENT,SUCCESS,WALLET,990,
PAY-00000006,SES-00000005,U-SZ-000095,2025-11-30T17:30:00Z,PAYMENT,SUCCESS,WALLET,5194,
PAY-00000007,SES-00000006,U-SZ-000818,2025-11-30T16:55:00Z,PAYMENT,SUCCESS,ALIPAY,3276,
PAY-00000008,SES-00000007,U-SH-000128,2025-11-30T17:00:00Z,PAYMENT,SUCCESS,ALIPAY,1885,
PAY-00000009,SES-00000008,U-SY-000943,2025-11-30T17:25:00Z,PAYMENT,SUCCESS,WECHAT,4070,
PAY-00000010,SES-00000009,U-SH-001012,2025-11-30T17:20:00Z,PAYMENT,SUCCESS,ALIPAY,4304,
PAY-00000011,SES-00000010,U-BJ-000458,2025-11-30T21:30:00Z,PAYMENT,FAILED,ALIPAY,2957,CHANNEL_TIMEOUT
PAY-00000012,SES-00000010,U-BJ-000458,2025-11-30T21:35:00Z,PAYMENT,SUCCESS,ALIPAY,2957,
