queue_id,user_id,station_id,joined_at,called_at,resolved_at,position_at_join,status,session_id
QUE-00000001,U-SY-000406,ST-SY-03,2025-11-30T17:15:00Z,2025-11-30T17:20:00Z,2025-11-30T17:25:00Z,1,SERVED,SES-00000032
QUE-00000002,U-SH-000080,ST-SH-03,2025-11-30T19:30:00Z,,2025-11-30T19:45:00Z,1,ABANDONED,
QUE-00000003,U-SY-001151,ST-SY-03,2025-11-30T21:05:00Z,2025-11-30T21:55:00Z,2025-11-30T22:00:00Z,1,CALL_EXPIRED,
QUE-00000004,U-SH-000048,ST-SH-05,2025-11-30T23:35:00Z,2025-11-30T23:45:00Z,2025-11-30T23:50:00Z,1,SERVED,SES-00000146
QUE-00000005,U-SH-000639,ST-SH-03,2025-12-01T00:00:00Z,2025-12-01T00:10:00Z,2025-12-01T00:15:00Z,1,SERVED,SES-00000166
QUE-00000006,U-BJ-000410,ST-BJ-04,2025-12-01T00:20:00Z,2025-12-01T00:45:00Z,2025-12-01T00:50:00Z,1,SERVED,SES-00000187
QUE-00000007,U-SY-001090,ST-SY-04,2025-12-01T00:30:00Z,2025-12-01T00:50:00Z,2025-12-01T00:55:00Z,1,CALL_EXPIRED,
QUE-00000008,U-SZ-000560,ST-SZ-04,2025-12-01T00:50:00Z,2025-12-01T00:55:00Z,2025-12-01T01:00:00Z,1,SERVED,SES-00000196
QUE-00000009,U-SZ-001063,ST-SZ-01,2025-12-01T01:00:00Z,2025-12-01T01:10:00Z,2025-12-01T01:15:00Z,1,SERVED,SES-00000203
QUE-00000010,U-SZ-000746,ST-SZ-04,2025-12-01T01:00:00Z,2025-12-01T01:15:00Z,2025-12-01T01:20:00Z,1,SERVED,SES-00000208
QUE-00000012,U-SY-001154,ST-SY-04,2025-12-01T01:10:00Z,2025-12-01T01:20:00Z,2025-12-01T01:25:00Z,1,SERVED,SES-00000212
QUE-00000013,U-SZ-000678,ST-SZ-01,2025-12-01T01:10:00Z,2025-12-01T01:20:00Z,2025-12-01T01:25:00Z,1,SERVED,SES-00000213
