attempt_id,user_id,vehicle_id,station_id,charger_id,attempted_at,outcome,failure_reason,session_id,queue_id,reservation_id
ATT-00000001,U-BJ-000791,V-BJ-000791,ST-BJ-01,CH-BJ-01-1,2025-11-30T16:00:00Z,STARTED,,SES-00000001,,
ATT-00000002,U-SY-001200,V-SY-001200,ST-SY-01,CH-SY-01-1,2025-11-30T16:05:00Z,STARTED,,SES-00000002,,
ATT-00000003,U-BJ-000644,V-BJ-000644,ST-BJ-03,CH-BJ-03-1,2025-11-30T16:05:00Z,STARTED,,SES-00000003,,
ATT-00000004,U-SH-000416,V-SH-000416,ST-SH-01,CH-SH-01-1,2025-11-30T16:10:00Z,STARTED,,SES-00000004,,
ATT-00000005,U-SZ-000095,V-SZ-000095,ST-SZ-01,CH-SZ-01-1,2025-11-30T16:10:00Z,STARTED,,SES-00000005,,
ATT-00000006,U-SZ-000818,V-SZ-000818,ST-SZ-02,CH-SZ-02-1,2025-11-30T16:10:00Z,STARTED,,SES-00000006,,
ATT-00000007,U-SH-000128,V-SH-000128,ST-SH-05,CH-SH-05-1,2025-11-30T16:15:00Z,STARTED,,SES-00000007,,RSV-00000001
ATT-00000008,U-SY-000489,V-SY-000489,ST-SY-01,CH-SY-01-2,2025-11-30T16:20:00Z,FAILED,AUTH_FAILED,,,
ATT-00000009,U-SY-000943,V-SY-000943,ST-SY-03,CH-SY-03-1,2025-11-30T16:20:00Z,STARTED,,SES-00000008,,
ATT-00000010,U-BJ-001072,V-BJ-001072,ST-BJ-04,CH-BJ-04-1,2025-11-30T16:20:00Z,FAILED,APP_TIMEOUT,,,
ATT-00000011,U-SH-001012,V-SH-001012,ST-SH-03,CH-SH-03-1,2025-11-30T16:20:00Z,STARTED,,SES-00000009,,
ATT-00000012,U-BJ-000458,V-BJ-000458,ST-BJ-03,CH-BJ-03-2,2025-11-30T16:25:00Z,STARTED,,SES-00000010,,
