label_id,session_id,recorded_at,anomaly_type,severity
ANOM-00000001,SES-00000013,2025-11-30T16:30:00Z,EARLY_STOP,MEDIUM
ANOM-00000002,SES-00000093,2025-11-30T21:45:00Z,THERMAL_STRESS,MEDIUM
ANOM-00000003,SES-00000101,2025-11-30T22:00:00Z,EARLY_STOP,MEDIUM
ANOM-00000004,SES-00000121,2025-11-30T23:10:00Z,EARLY_STOP,MEDIUM
ANOM-00000005,SES-00000123,2025-11-30T23:10:00Z,POWER_DERATING,MEDIUM
ANOM-00000006,SES-00000144,2025-11-30T23:45:00Z,POWER_DERATING,MEDIUM
ANOM-00000007,SES-00000151,2025-11-30T23:55:00Z,THERMAL_STRESS,MEDIUM
ANOM-00000008,SES-00000167,2025-12-01T00:15:00Z,EARLY_STOP,MEDIUM
ANOM-00000009,SES-00000189,2025-12-01T00:50:00Z,POWER_DERATING,MEDIUM
ANOM-00000010,SES-00000236,2025-12-01T02:10:00Z,EARLY_STOP,MEDIUM
ANOM-00000011,SES-00000289,2025-12-01T03:30:00Z,THERMAL_STRESS,MEDIUM
ANOM-00000012,SES-00000298,2025-12-01T03:45:00Z,POWER_DERATING,MEDIUM
