event_id,ticket_id,event_at,status,note
MEV-00000001,TKT-00000001,2025-12-01T00:25:00Z,SUBMITTED,模拟维修流程
MEV-00000002,TKT-00000001,2025-12-01T00:30:00Z,ACCEPTED,模拟维修流程
MEV-00000003,TKT-00000001,2025-12-01T00:35:00Z,IN_PROGRESS,模拟维修流程
MEV-00000004,TKT-00000001,2025-12-01T06:10:00Z,RESOLVED,模拟维修流程
MEV-00000005,TKT-00000002,2025-12-01T09:50:00Z,SUBMITTED,模拟维修流程
MEV-00000006,TKT-00000002,2025-12-01T09:55:00Z,ACCEPTED,模拟维修流程
MEV-00000007,TKT-00000002,2025-12-01T10:00:00Z,IN_PROGRESS,模拟维修流程
MEV-00000008,TKT-00000002,2025-12-01T12:20:00Z,RESOLVED,模拟维修流程
MEV-00000009,TKT-00000003,2025-12-02T21:20:00Z,SUBMITTED,模拟维修流程
MEV-00000010,TKT-00000003,2025-12-02T21:25:00Z,ACCEPTED,模拟维修流程
MEV-00000011,TKT-00000003,2025-12-02T21:30:00Z,IN_PROGRESS,模拟维修流程
MEV-00000012,TKT-00000003,2025-12-03T00:25:00Z,RESOLVED,模拟维修流程
