session_id,charger_id,recorded_at,soc_pct,pack_voltage_v,charge_current_a,max_cell_voltage_v,min_cell_voltage_v,max_temperature_c,min_temperature_c
SES-00000001,CH-BJ-01-1,2025-11-30T16:00:00Z,40.0,341.76,133.92,3.578,3.542,26.4,23.9
SES-00000002,CH-SY-01-1,2025-11-30T16:05:00Z,35.0,337.44,158.71,3.533,3.497,26.4,23.9
SES-00000001,CH-BJ-01-1,2025-11-30T16:05:00Z,46.3567,347.25,131.8,3.6352,3.5992,26.4,23.9
SES-00000003,CH-BJ-03-1,2025-11-30T16:05:00Z,45.0,346.08,132.25,3.623,3.587,26.4,23.9
SES-00000002,CH-SY-01-1,2025-11-30T16:10:00Z,43.926,345.15,155.17,3.6133,3.5773,26.4,23.9
SES-00000001,CH-BJ-01-1,2025-11-30T16:10:00Z,52.7133,352.74,129.75,3.6924,3.6564,26.4,23.9
SES-00000003,CH-BJ-03-1,2025-11-30T16:10:00Z,50.0853,350.47,130.59,3.6687,3.6327,26.4,23.9
SES-00000004,CH-SH-01-1,2025-11-30T16:10:00Z,49.0,349.54,165.17,3.659,3.623,29.1,26.6
SES-00000005,CH-SZ-01-1,2025-11-30T16:10:00Z,21.0,325.34,184.42,3.407,3.371,31.3,28.8
SES-00000006,CH-SZ-02-1,2025-11-30T16:10:00Z,11.0,316.7,189.45,3.317,3.281,31.3,28.8
SES-00000002,CH-SY-01-1,2025-11-30T16:15:00Z,52.852,352.86,151.78,3.6936,3.6576,26.4,23.9
SES-00000001,CH-BJ-01-1,2025-11-30T16:15:00Z,59.07,358.24,127.76,3.7497,3.7137,26.4,23.9
