city_id,recorded_at,temperature_c,humidity_pct,weather,rainfall_mm
DL,2025-11-30T16:00:00Z,-5.2,61,CLEAR,0
DL,2025-11-30T17:00:00Z,-5.6,64,CLEAR,0
DL,2025-11-30T18:00:00Z,-5.7,49,CLEAR,0
DL,2025-11-30T19:00:00Z,-5.6,58,CLEAR,0
DL,2025-11-30T20:00:00Z,-5.2,35,CLEAR,0
DL,2025-11-30T21:00:00Z,-4.6,37,CLEAR,0
DL,2025-11-30T22:00:00Z,-3.7,37,CLEAR,0
DL,2025-11-30T23:00:00Z,-2.8,34,CLEAR,0
DL,2025-12-01T00:00:00Z,-1.7,32,CLEAR,0
DL,2025-12-01T01:00:00Z,-0.7,37,CLEAR,0
DL,2025-12-01T02:00:00Z,0.3,59,CLEAR,0
DL,2025-12-01T03:00:00Z,1.1,56,CLEAR,0
