ticket_id,charger_id,station_id,reported_at,accepted_at,work_started_at,restored_at,fault_type,severity,labor_cost_cents,parts_cost_cents,status
TKT-00000001,CH-SZ-01-3,ST-SZ-01,2025-12-01T00:25:00Z,2025-12-01T00:30:00Z,2025-12-01T00:35:00Z,2025-12-01T06:10:00Z,COOLING,MEDIUM,8287,2065,RESOLVED
TKT-00000002,CH-SZ-05-1,ST-SZ-05,2025-12-01T09:50:00Z,2025-12-01T09:55:00Z,2025-12-01T10:00:00Z,2025-12-01T12:20:00Z,POWER_MODULE,MEDIUM,28299,28454,RESOLVED
TKT-00000003,CH-SH-02-2,ST-SH-02,2025-12-02T21:20:00Z,2025-12-02T21:25:00Z,2025-12-02T21:30:00Z,2025-12-03T00:25:00Z,COOLING,MEDIUM,28908,48639,RESOLVED
TKT-00000004,CH-SH-01-3,ST-SH-01,2025-12-03T07:35:00Z,2025-12-03T07:40:00Z,2025-12-03T07:45:00Z,2025-12-03T11:45:00Z,CONNECTOR,MEDIUM,17246,13780,RESOLVED
TKT-00000005,CH-DL-05-2,ST-DL-05,2025-12-03T12:50:00Z,2025-12-03T12:55:00Z,2025-12-03T13:00:00Z,2025-12-03T16:50:00Z,CONNECTOR,MEDIUM,26249,39296,RESOLVED
TKT-00000006,CH-BJ-03-3,ST-BJ-03,2025-12-03T18:40:00Z,2025-12-03T18:45:00Z,2025-12-03T18:50:00Z,2025-12-03T22:10:00Z,COMMUNICATION,MEDIUM,27154,30072,RESOLVED
TKT-00000007,CH-SZ-01-1,ST-SZ-01,2025-12-03T19:25:00Z,2025-12-03T19:30:00Z,2025-12-03T19:35:00Z,2025-12-03T20:30:00Z,CONNECTOR,MEDIUM,12304,1139,RESOLVED
TKT-00000008,CH-BJ-02-1,ST-BJ-02,2025-12-04T01:05:00Z,2025-12-04T01:10:00Z,2025-12-04T01:15:00Z,2025-12-04T03:40:00Z,COMMUNICATION,MEDIUM,16047,742,RESOLVED
TKT-00000009,CH-DL-02-3,ST-DL-02,2025-12-04T03:00:00Z,2025-12-04T03:05:00Z,2025-12-04T03:10:00Z,2025-12-04T08:35:00Z,CONNECTOR,MEDIUM,10175,23880,RESOLVED
TKT-00000010,CH-SH-05-3,ST-SH-05,2025-12-04T23:05:00Z,2025-12-04T23:10:00Z,2025-12-04T23:15:00Z,2025-12-05T02:45:00Z,CONNECTOR,MEDIUM,20782,17593,RESOLVED
TKT-00000011,CH-SH-03-2,ST-SH-03,2025-12-05T00:20:00Z,2025-12-05T00:25:00Z,2025-12-05T00:30:00Z,2025-12-05T02:55:00Z,POWER_MODULE,MEDIUM,25916,25134,RESOLVED
TKT-00000012,CH-DL-01-3,ST-DL-01,2025-12-05T08:00:00Z,2025-12-05T08:05:00Z,2025-12-05T08:10:00Z,2025-12-05T12:05:00Z,COMMUNICATION,MEDIUM,28191,25424,RESOLVED
